City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Koshki,RU,2020-02-23 02:12:21,54.21,50.47,16.7,92,31,12.39
171,Kerman,IR,2020-02-23 02:12:21,30.28,57.08,42.8,56,0,4.7
172,Smithers,CA,2020-02-23 02:12:22,54.78,-127.17,37.4,47,40,3.36
173,Pevek,RU,2020-02-23 02:12:22,69.7,170.31,-10.39,96,100,10.27
174,Kropotkin,RU,2020-02-23 02:08:39,45.44,40.58,40.35,93,100,8.43
175,Akyab,MM,2020-02-23 02:12:22,20.15,92.9,78.01,48,0,5.5
176,Ejido,VE,2020-02-23 02:12:23,8.55,-71.24,52.81,97,100,1.3
177,Saint-Pierre,RE,2020-02-23 02:12:23,-21.34,55.48,75.2,60,100,8.05
178,Uruzgan,AF,2020-02-23 02:12:23,32.83,66.0,34.79,55,0,8.97
179,Bafoulabe,ML,2020-02-23 02:12:23,13.81,-10.83,87.19,14,98,2.24
180,Sonoita,MX,2020-02-23 02:12:23,31.85,-112.83,59.0,74,48,5.01
181,Qandala,SO,2020-02-23 02:12:24,11.47,49.87,71.92,64,0,7.9
182,Gat,IL,2020-02-23 02:12:24,31.61,34.76,53.6,76,75,1.12
183,Mount Isa,AU,2020-02-23 02:12:24,-20.73,139.5,86.0,55,90,12.75
184,Okhotsk,RU,2020-02-23 02:12:24,59.38,143.3,-2.42,86,21,2.86
185,Buraydah,SA,2020-02-23 02:12:05,26.33,43.98,57.2,50,0,11.41
186,Ribeira Grande,PT,2020-02-23 02:12:25,38.52,-28.7,53.44,80,8,10.07
187,Vila Velha,BR,2020-02-23 02:11:03,-20.33,-40.29,77.0,88,90,16.11
188,Broome,US,2020-02-23 02:10:38,42.25,-75.83,30.0,85,1,4.7
189,Beruwala,LK,2020-02-23 02:12:25,6.48,79.98,78.49,81,100,4.34
190,Barrow,US,2020-02-23 02:12:26,71.29,-156.79,-14.8,75,1,6.93
191,Tomatlan,MX,2020-02-23 02:12:26,19.93,-105.25,68.56,88,46,1.59
192,Khani,GE,2020-02-23 02:12:26,41.96,42.96,44.6,100,90,2.24
193,Vestmanna,FO,2020-02-23 02:12:26,62.16,-7.17,33.8,74,100,10.13
194,Whitianga,NZ,2020-02-23 02:12:27,-36.83,175.7,78.01,54,19,11.99
195,Eskisehir,TR,2020-02-23 02:12:27,39.78,30.52,32.0,97,75,11.41
196,Maceio,BR,2020-02-23 02:12:23,-9.67,-35.74,77.0,94,20,3.36
197,Merauke,ID,2020-02-23 02:08:11,-8.47,140.33,89.85,62,70,11.54
198,Puerto Escondido,MX,2020-02-23 02:10:52,15.85,-97.07,82.4,78,5,3.11
199,Miri,MY,2020-02-23 02:11:12,4.41,114.01,84.2,79,75,12.75
200,Jatai,BR,2020-02-23 02:12:28,-17.88,-51.71,68.99,95,99,2.13
201,Qurayyat,SA,2020-02-23 02:12:28,31.33,37.34,41.0,75,0,2.24
202,Jalu,LY,2020-02-23 02:12:28,29.03,21.55,51.44,72,0,11.43
203,Mbalmayo,CM,2020-02-23 02:12:29,3.52,11.5,75.2,94,20,5.82
204,Faanui,PF,2020-02-23 02:09:02,-16.48,-151.75,83.26,69,51,8.03
205,Bengkulu,ID,2020-02-23 02:12:29,-3.8,102.27,87.21,55,0,2.89
206,Srivardhan,IN,2020-02-23 02:12:29,18.03,73.02,78.96,47,0,3.98
207,Grindavik,IS,2020-02-23 02:12:30,63.84,-22.43,30.2,80,75,10.29
208,Hami,CN,2020-02-23 02:12:30,42.8,93.45,33.55,47,0,3.24
209,Manjacaze,MZ,2020-02-23 02:12:30,-24.71,33.88,72.95,92,65,1.83
210,Puerto Narino,CO,2020-02-23 02:12:30,-3.77,-70.38,77.0,100,75,0.6
211,Fort Smith,US,2020-02-23 02:12:30,35.39,-94.4,50.0,45,1,3.36
212,Thompson,CA,2020-02-23 02:08:46,55.74,-97.86,23.0,62,20,3.36
213,Balkhash,KZ,2020-02-23 02:12:31,46.84,74.98,21.2,92,20,4.47
214,Kemi,FI,2020-02-23 02:12:31,65.74,24.56,32.0,98,90,3.36
215,Oconomowoc,US,2020-02-23 02:11:38,43.11,-88.5,42.01,74,1,8.05
216,Luderitz,NA,2020-02-23 02:10:57,-26.65,15.16,66.2,82,0,16.11
217,San Rafael Del Sur,NI,2020-02-23 02:12:32,11.85,-86.44,82.4,58,20,13.87
218,East Wenatchee Bench,US,2020-02-23 02:12:32,47.43,-120.28,53.6,34,1,10.29
219,Harper,LR,2020-02-23 02:10:38,4.38,-7.72,77.67,96,51,3.18
220,Celestun,MX,2020-02-23 02:12:32,20.87,-90.4,71.15,70,18,17.05
221,Faya,SA,2020-02-23 02:09:35,18.39,42.45,57.2,53,18,1.59
222,Roma,US,2020-02-23 02:11:18,43.21,-75.46,28.99,85,1,6.93
223,Huarmey,PE,2020-02-23 02:12:33,-10.07,-78.15,74.57,61,99,1.9
224,Goundam,ML,2020-02-23 02:12:33,16.41,-3.67,74.3,13,33,8.93
225,Qaqortoq,GL,2020-02-23 02:12:33,60.72,-46.03,21.2,79,100,10.29
226,Altar,MX,2020-02-23 02:12:34,30.7,-111.82,59.0,87,85,1.99
227,Sibolga,ID,2020-02-23 02:12:34,1.74,98.78,84.38,54,0,3.71
228,San Cristobal,VE,2020-02-23 02:08:48,7.77,-72.22,82.4,65,75,2.62
229,Port Hedland,AU,2020-02-23 02:10:01,-20.32,118.57,89.6,52,9,8.05
230,Tall Kayf,TR,2020-02-23 02:12:35,37.08,41.07,45.99,85,85,6.31
231,Maniitsoq,GL,2020-02-23 02:12:35,65.42,-52.9,9.55,62,89,8.39
232,Namibe,AO,2020-02-23 02:12:35,-15.2,12.15,75.56,77,84,12.39
233,Pochutla,MX,2020-02-23 02:12:36,15.74,-96.47,82.4,78,5,13.15
234,Alghero,IT,2020-02-23 02:12:36,40.56,8.32,46.99,93,0,3.69
235,Apache Junction,US,2020-02-23 02:12:36,33.42,-111.55,64.4,59,75,8.05
236,Pawa,PH,2020-02-23 02:12:36,13.17,123.73,84.02,59,0,13.69
237,Garh Maharaja,PK,2020-02-23 02:12:36,30.83,71.91,63.82,52,0,3.04
